_id,event_id,user_id,product_id,action,preference_id,createdAt,updatedAt
EV00001,EV00001,U066,BEWAKOOF_1003855,Likes,,2026-08-12T19:02:36.550094,2026-08-12T19:02:36.550094
EV00002,EV00002,U073,BEWAKOOF_1003855,Likes,,2026-08-11T23:56:42.355966,2026-08-11T23:56:42.355966
EV00003,EV00003,U062,BEWAKOOF_1003855,AddToCart,,2026-08-13T06:52:51.499364,2026-08-13T06:52:51.499364
EV00004,EV00004,U053,BEWAKOOF_1003855,Likes,,2026-08-16T02:39:08.744803,2026-08-16T02:39:08.744803
EV00005,EV00005,U011,BEWAKOOF_1003855,Purchase,,2026-08-14T06:05:16.364650,2026-08-14T06:05:16.364650
EV00006,EV00006,U046,BEWAKOOF_1003855,Likes,,2026-08-17T02:04:52.706177,2026-08-17T02:04:52.706177
EV00007,EV00007,U063,BEWAKOOF_1003855,DisLikes,,2026-08-18T04:45:06.085694,2026-08-18T04:45:06.085694
EV00008,EV00008,U012,BEWAKOOF_1003855,DisLikes,,2026-08-13T11:26:48.290945,2026-08-13T11:26:48.290945
EV00009,EV00009,U026,BEWAKOOF_1003855,Likes,,2026-08-12T00:44:55.496708,2026-08-12T00:44:55.496708
EV00010,EV00010,U062,BEWAKOOF_1003855,AddToCart,,2026-08-17T07:24:05.866363,2026-08-17T07:24:05.866363
EV00011,EV00011,U018,BEWAKOOF_1003855,Likes,,2026-08-18T08:01:04.411525,2026-08-18T08:01:04.411525
EV00012,EV00012,U051,BEWAKOOF_1003855,AddToCart,,2026-08-13T13:37:17.338161,2026-08-13T13:37:17.338161
EV00013,EV00013,U011,BEWAKOOF_1003855,Purchase,,2026-08-16T09:59:31.085587,2026-08-16T09:59:31.085587
EV00014,EV00014,U056,BEWAKOOF_1003855,Likes,,2026-08-17T08:14:41.787111,2026-08-17T08:14:41.787111
EV00015,EV00015,U035,BEWAKOOF_1003855,Likes,,2026-08-15T09:31:53.841744,2026-08-15T09:31:53.841744
EV00016,EV00016,U058,BEWAKOOF_1003855,DisLikes,,2026-08-15T15:49:24.504624,2026-08-15T15:49:24.504624
EV00017,EV00017,U067,BEWAKOOF_1003855,AddToCart,,2026-08-13T20:53:00.247272,2026-08-13T20:53:00.247272
EV00018,EV00018,U018,BEWAKOOF_1003855,AddToCart,,2026-08-13T03:49:44.844683,2026-08-13T03:49:44.844683
EV00019,EV00019,U080,BEWAKOOF_1003855,Likes,,2026-08-16T16:06:41.472379,2026-08-16T16:06:41.472379
EV00020,EV00020,U011,BEWAKOOF_1003855,Likes,,2026-08-17T06:32:29.932882,2026-08-17T06:32:29.932882
EV00021,EV00021,U052,BEWAKOOF_1003855,Likes,,2026-08-13T06:44:26.189730,2026-08-13T06:44:26.189730
EV00022,EV00022,U021,BEWAKOOF_1003855,AddToCart,,2026-08-13T07:45:06.079694,2026-08-13T07:45:06.079694
EV00023,EV00023,U024,BEWAKOOF_1003855,Likes,,2026-08-14T18:20:53.172554,2026-08-14T18:20:53.172554
EV00024,EV00024,U004,BEWAKOOF_1003855,Likes,,2026-08-14T02:04:59.891889,2026-08-14T02:04:59.891889
EV00025,EV00025,U005,BEWAKOOF_1003855,Likes,,2026-08-14T18:55:12.482720,2026-08-14T18:55:12.482720
EV00026,EV00026,U026,BEWAKOOF_1003855,DisLikes,,2026-08-14T20:49:21.030525,2026-08-14T20:49:21.030525
EV00027,EV00027,U042,BEWAKOOF_1003855,DisLikes,,2026-08-16T13:33:43.238386,2026-08-16T13:33:43.238386
EV00028,EV00028,U044,BEWAKOOF_1003855,Likes,,2026-08-17T04:08:47.213025,2026-08-17T04:08:47.213025
EV00029,EV00029,U001,BEWAKOOF_1003855,Likes,,2026-08-12T19:53:28.626393,2026-08-12T19:53:28.626393
EV00030,EV00030,U075,BEWAKOOF_1003855,Likes,,2026-08-16T17:14:41.335759,2026-08-16T17:14:41.335759
EV00031,EV00031,U036,BEWAKOOF_1003855,Likes,,2026-08-14T03:08:30.809268,2026-08-14T03:08:30.809268
EV00032,EV00032,U028,BEWAKOOF_1003855,AddToCart,,2026-08-14T02:45:02.508787,2026-08-14T02:45:02.508787
EV00033,EV00033,U027,BEWAKOOF_1003855,Likes,,2026-08-13T02:19:06.743601,2026-08-13T02:19:06.743601
EV00034,EV00034,U057,BEWAKOOF_1003855,Likes,,2026-08-18T00:28:15.080837,2026-08-18T00:28:15.080837
EV00035,EV00035,U071,BEWAKOOF_1003855,AddToCart,,2026-08-15T11:47:17.889683,2026-08-15T11:47:17.889683
EV00036,EV00036,U055,BEWAKOOF_1003855,Likes,,2026-08-17T14:18:33.593414,2026-08-17T14:18:33.593414
EV00037,EV00037,U066,BEWAKOOF_1003855,AddToCart,,2026-08-15T14:21:14.264975,2026-08-15T14:21:14.264975
