product_id,title,brand,gender,category,subcategory,style,price,in_stock,is_active,primary_image,is_trending,sponsored,embedding_text
BEWAKOOF_1006879,Women's Black Dangerous Graphic Printed Oversized T-shirt,Bewakoof,Women,Topwear,T-Shirt,Streetwear,699,True,True,https://images.bewakoof.com/original/1006879_2026-04-16t13-13-54_1.jpg,True,False,Women's Black Dangerous Graphic Printed Oversized T-shirt Streetwear T-Shirt Black Oversized Bewakoof
BEWAKOOF_353236,Women's Solid Tie Hem Half Sleeve Casual Blue Shirt,Bewakoof,Women,Topwear,Shirt,Casual,349,False,True,https://images.bewakoof.com/original/women-s-solid-tie-hem-half-sleeve-casual-blue-shirt-353236-1655836559-1.jpg,False,False,Women's Solid Tie Hem Half Sleeve Casual Blue Shirt Casual Shirt Blue Regular Bewakoof
BEWAKOOF_682790,Women's Green Hogwarts Embroidered Oversized Hoodies,Bewakoof,Women,Topwear,Hoodie,Oversized,1699,True,True,https://images.bewakoof.com/original/women-s-green-embroidered-oversized-hoodies-682790-1762775504-1.jpg,False,False,Women's Green Hogwarts Embroidered Oversized Hoodies Oversized Hoodie  Oversized Bewakoof
BEWAKOOF_578905,Women's Black Tropical Vibes Graphic Printed Oversized Sweatshirt,Bewakoof,Women,Topwear,Sweatshirt,Streetwear,1199,False,True,https://images.bewakoof.com/original/women-s-black-tropical-vibes-graphic-printed-oversized-sweatshirt-578905-1675679319-1.jpg,False,False,Women's Black Tropical Vibes Graphic Printed Oversized Sweatshirt Streetwear Sweatshirt Black Oversized Bewakoof
BEWAKOOF_624647,Women's Green Oversized Plus Size Joggers,Bewakoof,Women,Bottomwear,Joggers,Athleisure,719,True,True,https://images.bewakoof.com/original/women-s-green-oversized-plus-size-joggers-624647-1721970349-1.jpg,False,False,Women's Green Oversized Plus Size Joggers Athleisure Joggers Green Oversized Bewakoof
BEWAKOOF_459919,Men's Black Typography Oversized Hooded Vest,Bewakoof,Men,Topwear,Topwear,Athleisure,305,False,True,https://images.bewakoof.com/original/men-s-black-typography-oversized-hooded-vest-459919-1655814218-1.jpg,False,False,Men's Black Typography Oversized Hooded Vest Athleisure Topwear  Oversized Bewakoof
BONKERS_14640654123372,Blue Everyday Joggers,Bonkers Corner,Women,Bottomwear,Joggers,Athleisure,1399,True,True,https://cdn.shopify.com/s/files/1/0653/0541/1684/files/6_c5ddd95c-3940-47f6-968e-c56367ecac48.jpg?v=1753507706,True,False,Blue Everyday Joggers Athleisure Joggers Blue  Bonkers Corner
URBANIC_118228,Ruffle A-Line Dress,Urbanic,Women,Dresses,Dress,Partywear,2790,True,True,https://img101.urbanic.com/goods-pic/298bbdcfde1a4e109f7065b90d748215UR_w1440_q90,False,False,Ruffle A-Line Dress Partywear Dress Green Regular Urbanic
BEWAKOOF_435581,Always Optimistic Adjustable Men's Slider,Bewakoof,Men,Footwear,Footwear,Casual,299,False,True,https://images.bewakoof.com/original/always-optimistic-adjustable-men-s-slider-435581-1656143426-1.jpg,False,False,Always Optimistic Adjustable Men's Slider Casual Footwear   Bewakoof
BEWAKOOF_468413,Women's Black BTS Logo Graphic Printed Plus Size Oversized T-shirt,Bewakoof,Women,Topwear,T-Shirt,Streetwear,349,False,True,https://images.bewakoof.com/original/women-s-black-bts-logo-graphic-printed-plus-size-oversized-t-shirt-468413-1667495772-1.jpg,False,False,Women's Black BTS Logo Graphic Printed Plus Size Oversized T-shirt Streetwear T-Shirt Black Oversized Bewakoof
